panel,lambda_os,group_size,idle_ratio_mean,idle_ratio_std,idle_ratio_pct
a,0.2,2,0.9703818582445493,0.004557676037590343,97.03818582445493
a,0.3,2,0.9598554461379368,0.005375486489125815,95.98554461379368
a,0.4,2,0.9477880223343302,0.008760713199478656,94.77880223343303
a,0.5,2,0.9358560704374055,0.009708941842334704,93.58560704374055
a,0.6,2,0.9270138634666969,0.007996635894013799,92.7013863466697
a,0.7,2,0.9176114583168045,0.009371070494399631,91.76114583168045
a,0.8,2,0.9054846054823185,0.012593656883336548,90.54846054823184
a,0.9,2,0.8952091891298202,0.011491317942072827,89.52091891298201
a,1.0,2,0.8834259617757826,0.01353633679598168,88.34259617757826
a,0.2,4,0.9406784542913532,0.004684449584236224,94.06784542913532
a,0.3,4,0.9187130122659037,0.006526383088401082,91.87130122659038
a,0.4,4,0.8970223409490642,0.008706930478880132,89.70223409490642
a,0.5,4,0.8785597962286497,0.008316366897731884,87.85597962286496
a,0.6,4,0.8581081698798744,0.011002857950232205,85.81081698798744
a,0.7,4,0.8398330236375492,0.014034846670957519,83.98330236375492
a,0.8,4,0.820286281496797,0.011923759070655833,82.0286281496797
a,0.9,4,0.8054216111635855,0.011977332696171716,80.54216111635854
a,1.0,4,0.790819385168151,0.01718144629056759,79.0819385168151
a,0.2,8,0.884511130213713,0.006036427794984074,88.4511130213713
a,0.3,8,0.8471816543880207,0.007215469144815208,84.71816543880207
a,0.4,8,0.8157748010898888,0.009018154439073882,81.57748010898888
a,0.5,8,0.7802109846784053,0.007689075416371158,78.02109846784053
a,0.6,8,0.7507328762920538,0.010762549874703865,75.07328762920538
a,0.7,8,0.7242412801494329,0.009037106958699208,72.42412801494329
a,0.8,8,0.6985972987970035,0.009013722542536495,69.85972987970035
a,0.9,8,0.6733098215347403,0.010465330495004244,67.33098215347403
a,1.0,8,0.6504893530160776,0.011998669894365226,65.04893530160776
a,0.2,16,0.7911467072444212,0.00407001064881945,79.11467072444212
a,0.3,16,0.731706610411434,0.005116207852864332,73.1706610411434
a,0.4,16,0.682970070150076,0.005661394461276445,68.29700701500761
a,0.5,16,0.636702020651689,0.007875091265758857,63.6702020651689
a,0.6,16,0.6006265414452577,0.004638493080699803,60.06265414452577
a,0.7,16,0.566707190733758,0.005968841417375037,56.6707190733758
a,0.8,16,0.5379169182550042,0.005927681520927209,53.79169182550042
a,0.9,16,0.5093412345304242,0.007658060876823281,50.934123453042425
a,1.0,16,0.484670490901308,0.007289354959502599,48.4670490901308
a,0.2,24,0.7153896812767077,0.0032912159925149714,71.53896812767077
a,0.3,24,0.6471316581310935,0.004643671156429048,64.71316581310936
a,0.4,24,0.5888304795943887,0.003947314310537045,58.88304795943887
a,0.5,24,0.5415296601823072,0.004732872190858127,54.15296601823072
a,0.6,24,0.4991521365959231,0.0034618775563035093,49.91521365959231
a,0.7,24,0.4647993040211812,0.0041440667359037885,46.47993040211812
a,0.8,24,0.4363550522972677,0.0056197412480651285,43.63550522972677
a,0.9,24,0.4080559179820105,0.003487123493675026,40.80559179820105
a,1.0,24,0.3843277135998604,0.00465536349778621,38.43277135998604
a,0.2,32,0.6529695216949293,0.0023342329368096723,65.29695216949293
a,0.3,32,0.5768309306160245,0.003316541488266189,57.683093061602456
a,0.4,32,0.5170489798575489,0.002945560388524471,51.7048979857549
a,0.5,32,0.4682342111923578,0.0035145457516022886,46.82342111923578
a,0.6,32,0.4283886402183288,0.0029991595232191424,42.838864021832876
a,0.7,32,0.39465496876853756,0.0030817754306057933,39.465496876853756
a,0.8,32,0.3651459246816367,0.003300600622094032,36.51459246816367
a,0.9,32,0.3408050481016523,0.003498307982900512,34.08050481016523
a,1.0,32,0.31872163680491666,0.0026987319436194168,31.872163680491667
b,0.2,2,0.9481576702191515,0.006378173229720893,94.81576702191515
b,0.3,2,0.9265069289817055,0.009539454902714985,92.65069289817055
b,0.4,2,0.9049782474590765,0.011987928539217938,90.49782474590765
b,0.5,2,0.8812195865433153,0.013055233163621999,88.12195865433154
b,0.6,2,0.8652669384909616,0.015859367796325616,86.52669384909616
b,0.7,2,0.8462068280464122,0.01697749064298162,84.62068280464122
b,0.8,2,0.8257396011544064,0.022283561701987854,82.57396011544064
b,0.9,2,0.812105084048606,0.019539994961031048,81.2105084048606
b,1.0,2,0.7944692128944456,0.026390522156319873,79.44692128944456
b,0.2,4,0.8991646877096875,0.007343249601730316,89.91646877096875
b,0.3,4,0.861140979824714,0.008850483386165982,86.1140979824714
b,0.4,4,0.8234630636986948,0.01418366529102538,82.34630636986948
b,0.5,4,0.7917524983707835,0.01427533324539261,79.17524983707835
b,0.6,4,0.7568501449490657,0.01712321265080869,75.68501449490657
b,0.7,4,0.7356107203568533,0.01860458040312066,73.56107203568533
b,0.8,4,0.7000358331959663,0.0188432415474039,70.00358331959663
b,0.9,4,0.6838396392802925,0.01904388969476863,68.38396392802925
b,1.0,4,0.6601774964252204,0.021178706299350335,66.01774964252203
b,0.2,8,0.8128505823711197,0.009889850072248801,81.28505823711197
b,0.3,8,0.7506945703962785,0.010139794426884346,75.06945703962785
b,0.4,8,0.6982474504055513,0.009453498737510403,69.82474504055513
b,0.5,8,0.6521743774488192,0.010495828970386959,65.21743774488192
b,0.6,8,0.6138772159790495,0.012026184290483286,61.38772159790496
b,0.7,8,0.5773154413756711,0.009330624448641113,57.73154413756711
b,0.8,8,0.5458409845428942,0.016097894753001888,54.58409845428942
b,0.9,8,0.517711548037334,0.014181148707512326,51.771154803733396
b,1.0,8,0.4917222741965046,0.01207008254566655,49.17222741965046
b,0.2,16,0.6839732881809524,0.005441711158214448,68.39732881809523
b,0.3,16,0.5991814863095977,0.008628160801078753,59.91814863095976
b,0.4,16,0.535090328939821,0.005079019240598869,53.5090328939821
b,0.5,16,0.4840403717947156,0.007136787773744602,48.40403717947156
b,0.6,16,0.441556752818257,0.006198278604655678,44.1556752818257
b,0.7,16,0.4042593661880664,0.006974668552036566,40.42593661880664
b,0.8,16,0.37391522360143203,0.005425455098413171,37.391522360143206
b,0.9,16,0.34889271655476856,0.005341706800587411,34.889271655476854
b,1.0,16,0.32565932604455183,0.006301005386137113,32.565932604455185
b,0.2,24,0.5896192290711819,0.003717209921112117,58.96192290711819
b,0.3,24,0.5007743218365109,0.006108858403194822,50.07743218365109
b,0.4,24,0.4340263794585885,0.00402217788610887,43.40263794585885
b,0.5,24,0.38457200766646854,0.0039341583750683974,38.45720076664686
b,0.6,24,0.34398440738201813,0.004065457347778809,34.39844073820181
b,0.7,24,0.3121223075679307,0.004425071965020531,31.21223075679307
b,0.8,24,0.285149555996812,0.004126717263867443,28.5149555996812
b,0.9,24,0.2621014019413985,0.0028052719079292143,26.210140194139854
b,1.0,24,0.2431294042345145,0.0023895679928174767,24.31294042345145
b,0.2,32,0.5165739603198929,0.0034929791079189253,51.657396031989286
b,0.3,32,0.42911884245926707,0.004734649953887402,42.91188424592671
b,0.4,32,0.3649227925451148,0.003390550772649089,36.49227925451148
b,0.5,32,0.31844276553602185,0.0028469852983571894,31.844276553602185
b,0.6,32,0.28254896201604035,0.0021455260129944797,28.254896201604033
b,0.7,32,0.25351301402128856,0.002376917605280331,25.351301402128858
b,0.8,32,0.23004000408712266,0.0026544188474316925,23.004000408712265
b,0.9,32,0.2111005847993033,0.0016493840986633338,21.11005847993033
b,1.0,32,0.19408461956178077,0.0019757862750729147,19.408461956178076
c,0.2,2,0.920466810265439,0.009499764201923307,92.0466810265439
c,0.3,2,0.8804760376713106,0.013992878733607838,88.04760376713105
c,0.4,2,0.8513054669147668,0.01410893653077094,85.13054669147668
c,0.5,2,0.8191091954539896,0.022789799373338974,81.91091954539897
c,0.6,2,0.8025254287833345,0.016902111413872697,80.25254287833346
c,0.7,2,0.7671932230807101,0.025556317256396843,76.71932230807101
c,0.8,2,0.7551775161214629,0.020746315969661314,75.51775161214628
c,0.9,2,0.7264843443459506,0.024772739033777202,72.64843443459506
c,1.0,2,0.7048653626586469,0.023806842587870143,70.48653626586469
c,0.2,4,0.8458271894406175,0.012899877723145194,84.58271894406175
c,0.3,4,0.78667767273819,0.016938624245641454,78.667767273819
c,0.4,4,0.7414114724811245,0.014676222189622737,74.14114724811245
c,0.5,4,0.6933184558652953,0.012702377431964049,69.33184558652952
c,0.6,4,0.6601044556464989,0.017482477764795033,66.01044556464988
c,0.7,4,0.6251984250808692,0.018768905922898826,62.51984250808692
c,0.8,4,0.5944065931215494,0.022475930404268752,59.44065931215494
c,0.9,4,0.5647407819200301,0.019177285039644627,56.474078192003006
c,1.0,4,0.5383739477675207,0.024036355852102925,53.83739477675207
c,0.2,8,0.7330704485746967,0.010448225028637202,73.30704485746968
c,0.3,8,0.6540138327346551,0.011997611291973914,65.40138327346551
c,0.4,8,0.5867894210222826,0.013689208424287377,58.67894210222826
c,0.5,8,0.5312975933731827,0.013188727559326655,53.12975933731827
c,0.6,8,0.48968270972312056,0.011311191720853214,48.968270972312055
c,0.7,8,0.4552076517345828,0.011125296822177343,45.52076517345828
c,0.8,8,0.42227327900766026,0.012050803587632136,42.22732790076603
c,0.9,8,0.3948239956487565,0.0113170192336093,39.48239956487565
c,1.0,8,0.3678294313772199,0.013742493127548838,36.78294313772199
c,0.2,16,0.5773227738637757,0.005829413012555626,57.732277386377575
c,0.3,16,0.48237919701098003,0.0057787671858406855,48.237919701098
c,0.4,16,0.41524045170916163,0.006531470374995869,41.52404517091616
c,0.5,16,0.36467772907122026,0.006472339439258482,36.467772907122026
c,0.6,16,0.3248838265573226,0.006016557135131447,32.48838265573226
c,0.7,16,0.29389441960063656,0.005560860281880789,29.389441960063657
c,0.8,16,0.2670849562499508,0.0046649093017715176,26.70849562499508
c,0.9,16,0.24642763194774098,0.005738157616834572,24.642763194774098
c,1.0,16,0.22703732865576598,0.006951663309444508,22.703732865576598
c,0.2,24,0.4760724896816093,0.004225952998870272,47.60724896816093
c,0.3,24,0.3848302162189013,0.0046576577152697895,38.48302162189013
c,0.4,24,0.32224869381153837,0.004138307325549506,32.22486938115384
c,0.5,24,0.2772113801616506,0.003916361334244908,27.72113801616506
c,0.6,24,0.24434637140946439,0.003371564989488618,24.43463714094644
c,0.7,24,0.21665089877391563,0.002791258109260202,21.665089877391562
c,0.8,24,0.19616908798949445,0.0029571953512941805,19.616908798949446
c,0.9,24,0.17784090795539442,0.002592790197250202,17.78409079553944
c,1.0,24,0.16318681600656135,0.0028299612765358647,16.318681600656134
c,0.2,32,0.4049565300383831,0.0034609171355860606,40.495653003838314
c,0.3,32,0.3190601817968314,0.0032383257359397508,31.906018179683137
c,0.4,32,0.2620892244458607,0.003510027638962372,26.20892244458607
c,0.5,32,0.2237449179939741,0.0018767787236920722,22.37449179939741
c,0.6,32,0.1939394883221553,0.002015146480307939,19.39394883221553
c,0.7,32,0.17192984628491814,0.0017770685958030208,17.192984628491814
c,0.8,32,0.15382746107991907,0.0014086856266253957,15.382746107991906
c,0.9,32,0.1395578017281475,0.0020773704452444848,13.95578017281475
c,1.0,32,0.12770133801317923,0.0015155303512146964,12.770133801317924
